KLASA SAMAR,SILNIK,0,1,2,3,4,5,6,7
Terenowo-rekreacyjne (SUV) - B MAŁE,Benzyna (PB),"0,43","0,37","0,35","0,29","0,25","0,2","0,15","0,13"
Terenowo-rekreacyjne (SUV) - B MAŁE,Diesel (ON),"0,45","0,39","0,34","0,36","0,22","0,2","0,165","0,105"
Terenowo-rekreacyjne (SUV) - B MAŁE,Benzyna mHEV (PB-mHEV),"0,43","0,37","0,35","0,29","0,25","0,2","0,15","0,13"
Terenowo-rekreacyjne (SUV) - B MAŁE,Diesel mHEV (ON-mHEV),"0,45","0,39","0,34","0,36","0,22","0,2","0,165","0,105"
Terenowo-rekreacyjne (SUV) - B MAŁE,Hybryda (HEV),"0,43","0,37","0,35","0,29","0,25","0,2","0,15","0,13"
Terenowo-rekreacyjne (SUV) - B MAŁE,Plug-in Hybrid (PHEV),"0,43","0,37","0,35","0,29","0,25","0,2","0,15","0,13"
Terenowo-rekreacyjne (SUV) - B MAŁE,Elektryczny (BEV),"0,43","0,37","0,35","0,29","0,25","0,2","0,15","0,13"
Terenowo-rekreacyjne (SUV) - B MAŁE,Wodór (FCEV),"0,43","0,37","0,35","0,29","0,25","0,2","0,15","0,13"
Terenowo-rekreacyjne (SUV) - B MAŁE,LPG,"0,43","0,37","0,35","0,29","0,25","0,2","0,15","0,13"
Terenowo-rekreacyjne (SUV) - C NIŻSZA ŚREDNIA,Benzyna (PB),"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
